title,Demographic,All Ages,<18,18-29,30-44,45+,All Ages Voters,<18 Voters,18-29 Voters,30-44 Voters,45+ Voters
Black Christmas,Males,3.1,3.2,3.2,3.0,3.0,"2,013",7,641,870,311
Black Christmas,Females,4.2,2.6,4.8,4.0,4.3,335,10,108,135,39
1917,All,8.6,9.3,8.8,8.4,8.4,"1,336",8,304,329,197
1917,Males,8.5,9.3,8.8,8.3,8.1,748,8,249,279,150
1917,Females,8.4,-,7.8,8.6,8.8,119,,35,38,39
Code 8,All,6.2,8.0,6.4,6.1,6.1,"4,560",6,725,"1,801",692
Code 8,Males,6.2,8.5,6.4,6.1,6.1,"3,163",5,625,"1,634",622
Code 8,Females,6.2,-,6.2,6.4,5.7,276,,64,131,56
Uncut Gems,All,8.1,8.4,8.4,7.8,6.9,"4,614",20,"1,200","1,329",462
Uncut Gems,Males,8.0,8.4,8.4,7.8,6.9,"2,938",20,"1,085","1,200",392
Uncut Gems,Females,7.2,-,8.0,7.3,6.5,268,,81,105,58
Klaus,All,8.3,8.6,8.4,8.2,8.0,"30,211",77,"8,388","9,271","1,779"
Klaus,Males,8.2,8.4,8.3,8.1,7.9,"15,940",48,"5,716","7,114","1,379"
Klaus,Females,8.5,9.0,8.6,8.4,8.4,"5,210",12,"2,317","1,913",359
Ready or Not,All,6.9,7.2,7.0,6.8,6.7,"44,945",103,"11,165","14,981","3,798"
Ready or Not,Males,6.8,7.1,7.0,6.8,6.7,"26,582",69,"8,409","12,526","3,212"
Ready or Not,Females,7.1,8.1,7.1,7.1,7.1,"5,490",11,"2,257","2,131",495
It Chapter Two,All,6.7,7.0,6.7,6.6,6.6,"135,959",612,"37,218","38,290","7,792"
It Chapter Two,Males,6.6,6.8,6.7,6.6,6.6,"74,274",377,"27,864","31,319","6,383"
It Chapter Two,Females,6.9,7.4,6.9,6.9,6.9,"16,473",95,"7,335","5,896","1,174"
Last Christmas,All,6.6,6.4,6.5,6.6,6.7,"15,811",44,"4,141","4,012","1,669"
Last Christmas,Males,6.4,5.9,6.4,6.4,6.5,"6,365",18,"2,199","2,387","1,109"
